feature_304,feature_138,feature_833,feature_231,feature_693,feature_160,feature_409,feature_31,feature_420,feature_256,feature_5,feature_812,feature_863,feature_927,feature_2,feature_803,feature_12,feature_758,feature_145,feature_381,feature_898,feature_125,feature_233,feature_18,feature_97,feature_924,class
-2.6377575,-4.039022,76,0.051702302,2.8069084,-2.6951001,-3.3938909,-4.4118252,2.9795413,-2.2791884,-1.8768741,6.2644987,0.84615254,-4.2493114,0.2077122,-1.8767539,-3.1263065,-0.29470757,-2.155508,-1.4788136,-0.77891827,-1.3165568,0.073758215,-0.007604741,-0.83193499,-0.95202595,FML
-2.9351895,-3.9201541,-1.7281904,-0.44158527,2.984446,-2.350431,-3.1760588,-4.1099339,2.6899738,-2.1350017,-1.6512231,5.3533745,0.56128526,-3.7450421,0.25255984,-2.0207927,-2.9367521,-0.49586651,-2.146383,-1.6063812,-0.50094467,-0.96851063,-0.15135184,0.3690007,-0.75752145,-1.117591,FML
-2.8522096,-3.8631997,-1.4221252,0.16433787,2.6827695,-2.6297247,-3.2854376,-4.0505986,2.6386135,-2.1769421,-1.6485122,5.4192262,0.81210876,-3.8693087,0.45621842,-1.7383653,-2.7344103,-0.43955234,-2.0193019,-1.5114629,-0.50263911,-1.4482441,0.20747958,0.61158735,-0.52813357,-1.1848743,FML
-2.8527827,-3.8412347,-1.7360803,-0.35572392,2.9593577,-2.5889277,-3.2426319,-4.1146226,2.548192,-2.1158712,-1.8287925,5.6533885,0.53495979,-3.8777626,0.14844769,-1.713148,-2.883657,-0.32499242,-2.169364,-1.6055467,-0.39974788,-1.1904935,0.058529709,0.41381204,-0.77266484,-1.1098223,FML
-3.0024486,-3.9237225,-1.6886219,-0.03854743,2.7273679,-2.5892706,-3.4353833,-4.1835232,2.8657253,-2.0071132,-1.315294,5.553287,0.84177732,-3.9171667,0.53223169,-1.8706186,-3.0773003,-0.37193644,-1.7736682,-1.3984852,-0.61057758,-0.85377914,-0.14168714,0.17707703,-0.97111642,-1.0368695,FML
-2.7399173,-4.0835404,-1.9825722,0.24944869,2.9195654,-2.8536851,-3.2617791,-4.4448824,2.977551,-2.1106124,-2.1037495,6.2217031,1.0276101,-4.4540558,0.41762024,-2.1494219,-3.3190377,-0.058948286,-1.5542822,-1.314441,-0.82688773,-1.209124,0.18894164,-0.092767134,-0.85729373,-0.78655422,FML
-2.8221345,-3.8307066,-1.7243975,-0.086314216,2.8212368,-2.6018286,-3.2060695,-4.1119633,2.937043,-2.2315366,-1.5697536,6.4138112,0.81806338,-3.8003597,0.18199977,-1.6673161,-2.8236673,-0.642057,-2.2180066,-1.6965425,-0.47972184,-1.5949302,0.20117909,0.39339486,-0.6081593,-1.2176359,FML
-2.7203236,-4.1017466,-1.6374941,0.23495431,2.4940524,-2.571697,-3.3230932,-4.3905311,2.7216964,-2.121438,-1.4877169,5.7812319,0.84417063,-4.2120075,0.6096577,-1.8573709,-3.1841142,-0.26795003,-1.7636946,-1.307379,-0.81306309,-1.2754217,-0.053366747,0.12405184,-0.61910564,-1.2563781,FML
-2.6675546,-3.8384719,-1.8415353,-0.46975675,2.8422854,-2.5112786,-3.4775164,-4.0994992,2.812604,-2.0953488,-1.6843836,5.5526609,0.90233862,-3.9459167,0.30634099,-1.794812,-3.0050652,-0.59404427,-1.8821731,-1.5956378,-0.65358996,-1.1019689,-0.12541543,0.14743325,-0.81683397,-1.0144581,FML
-2.879029,-3.9452391,-1.6360787,-0.18331093,2.3225002,-2.3173904,-3.3748176,-4.2366982,2.7762804,-2.0077226,-1.3764606,5.967958,0.54481554,-3.9977937,0.24238274,-1.7282104,-3.0118668,-0.58377558,-2.0166838,-1.5774763,-0.51758254,-1.3669411,0.072888501,0.36074203,-0.69449723,-1.0906199,FML
-2.7174566,-3.9724419,-1.9673234,0.31318569,2.5089834,-2.8239975,-3.4026799,-4.4215531,2.6947317,-2.1598074,-1.9063784,6.3535542,0.8807919,-4.134563,0.44096357,-1.7230189,-3.0732033,-0.24085072,-1.667119,-1.3135355,-0.6968621,-1.4651468,0.24800193,0.18702024,-0.57308567,-1.1715,FML
-2.7997038,-3.6552122,-1.6629561,-0.17103241,2.7979405,-2.6484149,-3.2444808,-3.9933903,2.6876671,-2.243911,-1.5427988,5.69701,0.88417184,-3.6589837,0.33278674,-1.6918001,-2.9344378,-0.55791163,-1.9226604,-1.3958054,-0.43621728,-1.1579348,-0.13452877,0.4389075,-0.77407438,-1.0572339,FML
-2.7725883,-3.9605358,-1.6356671,-0.72897303,3.0496988,-2.172987,-3.6642442,-4.0463305,2.7258604,-2.1275136,-1.4945016,5.2702861,0.4867776,-3.5481555,0.14988776,-1.8344952,-2.6878159,-0.86678088,-2.709403,-1.6720595,-0.32492071,-0.95049447,-0.35219145,0.62931877,-0.71366799,-0.99382818,FML
