feature_430,feature_355,feature_467,feature_933,feature_283,feature_531,feature_592,feature_85,feature_624,feature_868,feature_24,feature_607,feature_399,feature_826,feature_1,feature_858,feature_2,feature_158,feature_415,class
1.5994706,-0.28069344,-0.68009299,-0.63870221,0.37496328,6.1795101,1.1868311,0.44430199,1.867565,-1.2940876,-1.4776367,4.5613012,2.1828229,-1.4265677,-3.09653,0.327732,0.91855705,0.50822049,-1.8126899,FML
1.8576437,-0.52781332,-0.41864777,-0.70871466,0.49782696,6.1909933,0.85407597,-0.41963804,1.9520377,-1.0428665,-1.6712048,4.4658937,2.0792527,-1.2878789,-2.9097857,0.70004576,0.8212626,0.62203151,-1.7938216,FML
1.9210929,-0.40059242,-0.65561414,-0.78013724,0.48954111,6.2041631,0.61793727,-0.19820973,1.8442048,-1.1736006,-1.5550814,4.7156196,2.159703,-1.2623787,-2.9512804,0.72154623,0.75695795,0.60599041,-1.9653226,FML
2.2559397,-0.47199252,-0.63198227,-0.75465924,0.45907927,6.2831616,0.93511915,-0.22566113,1.6928209,-1.0308635,-1.5048122,4.7072001,2.1873703,-1.2474254,-3.1340654,0.38335857,0.82352161,0.78426957,-1.8651435,FML
1.9617573,-0.66455656,-0.75754613,-0.72038645,0.58089679,6.180933,1.4780364,0.10959543,1.5788759,-1.458532,-1.5186973,5.1064439,2.5840864,-1.3827486,-3.0854211,0.26697907,1.149066,0.43090561,-1.7827178,FML
1.9415784,-0.34283918,-0.6945613,-0.67943114,0.20112418,6.3213987,1.5272708,0.3142983,1.9830723,-1.1309679,-1.5501111,4.7342057,2.2644556,-1.369483,-3.1918581,0.68522775,0.73949331,0.50987506,-1.7274601,FML
1.9285933,-0.50234377,-0.31789157,-0.82497251,0.38196105,6.4119434,0.91392028,-0.57304776,1.9815335,-1.1156873,-1.6262654,4.5492334,2.4058149,-1.3074619,-3.0732205,0.44078693,0.94049317,0.6389789,-1.9059479,FML
2.0191269,-0.59205115,-0.77494454,-0.70058089,0.53059733,5.5866323,1.1004648,0.24416478,1.3678393,-1.1639509,-1.6044704,4.6359687,2.0915844,-1.518707,-2.7762771,0.2564733,0.99337041,0.88248771,-1.8411973,FML
1.9124321,-0.53946447,-0.57528281,-0.57649124,0.4334116,6.2161489,1.2938193,-0.10580897,1.7229658,-1.1975621,-1.4228613,4.4479609,2.2548907,-1.253185,-3.0982575,0.29742461,0.84811544,0.56755567,-1.8658878,FML
1.8718154,-0.4348059,-0.73930943,-0.70219451,0.57522392,5.9223685,1.6522493,0.048005234,1.8045359,-1.347532,-1.4412649,4.7454295,2.3540442,-1.2751565,-2.9757178,0.40310073,0.96000957,0.56720757,-1.5801293,FML
2.160327,-0.53031343,-0.8321299,-0.76364875,0.53644931,6.083591,0.89367974,0.54709077,1.8201751,-1.3289255,-1.5931572,5.0162096,2.2775874,-1.5562094,-3.0214615,0.43789768,1.0446677,0.75695837,-2.0530746,FML
1.9314097,-0.50326467,-0.47140232,-0.75128907,0.46778879,6.1809893,0.80962294,-0.32519224,1.6267515,-1.1121238,-1.5289958,4.3270693,2.0326841,-1.3898054,-2.9779038,0.67440528,0.80933917,0.87875313,-1.7633122,FML
1.9302949,-0.60338223,-0.53803611,-0.7539863,0.5815348,6.0575371,1.1359766,-0.25949273,1.7580408,-1.0345275,-1.5693223,4.4987402,2.3092356,-1.324401,-2.7814567,0.43930268,1.0707134,0.64096248,-1.8151152,FML
2.1037385,-0.46448189,-0.63291854,-0.80402225,0.56610489,6.0864191,0.77987182,0.33517668,1.6941948,-1.2497996,-1.5907379,4.8514585,2.1728249,-1.6070167,-2.8134785,0.52063018,0.87272596,0.73736066,-1.8453053,FML
2.2799108,-0.7464658,-0.48036799,-0.71123224,0.62287998,5.9559608,1.0113015,0.13896112,1.5344989,-1.1780202,-1.8033369,4.8167949,2.2762842,-1.4377575,-2.9127688,0.22537011,1.0930319,0.95992863,-1.9996046,FML
1.5446439,-0.38068661,-0.51515418,-0.72417802,0.60943311,6.2490525,0.79333842,-0.22999705,1.800699,-1.226072,-1.5455766,4.4675508,2.3658862,-1.2527747,-2.8369515,0.34427938,0.83401096,0.58404982,-1.5766716,FML
1.5240722,-0.26820156,-0.71371168,-0.8337608,0.39238518,6.2451515,0.80483562,-0.09651766,1.9465727,-1.2526159,-1.6476023,4.4991522,2.1577573,-1.2903051,-3.0901933,0.70377851,0.87873232,0.47611704,-1.8641208,FML
1.620245,-0.35767296,-0.47335163,-0.82347137,0.56068015,6.2889118,0.98455667,-0.56073081,1.8360234,-0.95227522,-1.5993553,4.4636197,2.0443754,-1.2376491,-2.8026142,0.42098182,1.0051378,0.67368942,-1.7401245,FML
