feature_929,feature_648,feature_533,feature_374,feature_146,feature_162,feature_292,feature_2,feature_125,feature_105,feature_36,feature_239,feature_684,feature_771,feature_3,feature_361,feature_505,feature_905,feature_385,feature_395,feature_822,feature_119,feature_52,feature_100,feature_71,feature_382,feature_164,feature_579,feature_195,feature_59,feature_857,class
-2.5515893,-0.31705797,-0.17497128,-0.87265718,-2.0500445,-1.6328225,-0.94638944,0.32296324,-3.0124264,-1.4831492,-3.7618487,-1.8411858,1.4780078,-1.7077277,-1.3877397,-1.5344071,0.39298669,4.9266095,-2.1415687,-3.6765971,-0.791399,-3.1091299,-2.5267091,-1.6183648,-1.4374483,-2.9917598,-1.0088537,2.6688213,-1.1347103,-1.415731,-0.59122664,FML
-2.2873714,0.27948484,-0.26545894,-0.7087096,-2.2863708,-1.6620941,-0.90071702,0.3603957,-3.038223,-1.7380081,-3.8955965,-1.8763714,1.5773987,-1.8423046,-1.2824074,-1.5643749,0.75661373,4.6171708,-2.2077823,-3.6469581,-0.9065429,-2.9504139,-2.2591739,-1.6883509,-1.4957852,-2.9469223,-0.65274978,2.8781281,-1.2240684,-1.6316338,-0.55838341,FML
-2.205085,0.015872657,-0.05144769,-0.75259948,-2.0674155,-1.6684084,-0.9212569,0.56544572,-2.870677,-1.6492478,-3.8668072,-1.9372721,1.6428754,-1.5326872,-1.408895,-1.7854177,0.56172597,4.6824484,-2.1468349,-3.6462929,-0.79053354,-2.9879169,-2.2817197,-1.6993618,-1.4142767,-2.9577858,-0.90007865,2.9916387,-1.4005625,-1.5567286,-1.0695766,FML
-2.4074762,0.013734996,-0.11631745,-0.87077743,-2.2417099,-1.6698282,-0.88128603,0.55774915,-3.0365059,-1.5604283,-3.7411518,-2.0236521,1.5540051,-1.6828183,-1.4294894,-1.5857064,0.67077434,4.9329963,-2.1715078,-3.7112219,-0.85168517,-3.0266044,-2.2305584,-1.5876619,-1.2028226,-2.9804602,-0.88647974,2.8109198,-1.2106252,-1.3588445,-0.70501184,FML
-2.2452559,0.18446186,-0.14864534,-0.74909323,-2.1263494,-1.4896927,-0.98333323,0.49094272,-2.8883836,-1.6977699,-3.8897977,-1.8512249,1.5242512,-1.8061631,-1.455469,-1.6277206,0.59712696,4.8314857,-2.3518777,-3.7505679,-0.68851566,-2.9532471,-2.616991,-1.833297,-1.4558479,-2.9304891,-0.75820994,3.3975606,-1.331109,-1.6062071,-0.80590475,FML
-2.405586,-0.42582676,-0.39352196,-0.99271339,-2.1249719,-1.6014776,-1.2424455,0.23048265,-3.0466883,-1.7186791,-3.9077868,-1.9571514,1.6814485,-1.7337501,-1.2699707,-2.0139494,0.3740235,4.6697059,-2.040874,-3.3369524,-0.72895718,-3.2405879,-2.4514809,-1.791039,-1.5931382,-3.0317645,-1.1600419,2.298104,-1.0272161,-1.4927065,-0.6114977,FML
-2.4019864,-0.092112154,-0.071690321,-0.9763363,-2.1947403,-1.3363173,-0.80535185,0.099941768,-3.3697035,-1.8965188,-3.9368579,-1.6506851,1.4590863,-2.1186283,-1.4130279,-1.4842587,0.65868187,4.6763754,-2.0025163,-3.9138396,-0.9003185,-3.112879,-2.0305178,-1.3718803,-1.7263099,-2.8103704,-0.45411503,2.0410829,-1.3190894,-1.5086677,-0.47628748,FML
-2.4135296,-0.23980701,-0.13363969,-0.91210979,-2.1341414,-1.5681572,-0.92490232,0.4131918,-3.0300972,-1.5346169,-3.8768737,-1.9980447,1.4375846,-1.4870729,-1.5823948,-1.7753652,0.49125388,4.6483655,-2.0291705,-3.552716,-1.0553733,-3.1761975,-2.312603,-1.7174311,-1.3844683,-2.952734,-0.93895459,2.7994595,-1.1408681,-1.4710629,-0.81203663,FML
-2.4401476,-0.34984937,-0.20826775,-0.92246467,-2.2632604,-1.4913156,-0.97352612,0.25206971,-3.0628996,-1.6226254,-3.8573472,-2.0214002,1.4741013,-1.7355566,-1.4383692,-1.8011709,0.48745471,4.8522902,-2.057888,-3.5411484,-0.8665235,-3.1100543,-2.2089105,-1.6514423,-1.4997847,-2.95244,-0.88195956,2.3582797,-1.2286342,-1.4862671,-0.71090019,FML
-2.161515,-0.27504703,-0.27689326,-0.85111159,-2.049932,-1.7032931,-1.0194885,0.47633773,-2.9477766,-1.6846653,-3.9324787,-1.8072851,1.7563787,-1.7041358,-1.1640629,-1.8249353,0.46273673,4.7663836,-2.0043044,-3.5794945,-0.60477418,-3.039808,-2.3434024,-1.6914921,-1.5135915,-2.9481642,-1.0919058,2.3270869,-1.3231561,-1.4284914,-0.86772043,FML
-2.1650159,0.041979045,-0.33471537,-0.58947241,-2.4205632,-1.5849144,-0.87798417,0.31399968,-2.9900093,-1.8546979,-3.8866069,-2.0818698,1.5271901,-1.8313072,-1.4547951,-1.7062697,0.6413312,4.6246762,-2.2054873,-3.7082591,-0.69848526,-2.9814806,-2.4653904,-1.9083421,-1.4734999,-2.9155262,-0.91218543,2.6440737,-1.2507298,-1.6525931,-0.69618756,FML
