No Load,ACCURACY (%),,FEATURES FROM TREE,SELECTED FEATURES
Overall,72.17,,-,-
1 feature,38,,feature_304,feature_304
2 features,48.83,,feature_138,feature_138
3 features,60.17,,feature_883,feature_883
4 features,67,,feature_231,feature_231
5 features,67.83,,feature_693,feature_693
6 features,69.33,,feature_160,feature_160
7 features,70.5,,feature_409,feature_409
8 features,70.5,,feature_31,feature_31
9 features,70.33,,feature_420,feature_420
10 features,72,,feature_256,feature_256
11 features,71.17,,feature_5,feature_5
12 features,72.17,,feature_812,feature_812
13 features,72.17,,feature_863,feature_863
14 features,74.5,,feature_927,feature_927
15 features,73.5,,feature_2,feature_2
16 features,74.83,,feature_803,feature_803
17 features,74.33,,feature_12,feature_12
18 features,73,,feature_758,feature_758
19 features,73.33,,feature_145,feature_145
20 features,74.17,,feature_381,feature_381
21 features,73.67,,feature_898,feature_898
22 features,74.83,,feature_125,feature_125
23 features,76.5,,feature_223,feature_223
24 features,76,,feature_18,feature_18
25 features,78.17,,feature_97,feature_97
26 features,78.83,,feature_924,feature_924
27 features,78.33,,feature_315,
28 features,77.33,,feature_985,
29 features,77.5,,feature_19,
30 features,76.5,,feature_652,
31 features,78,,feature_174,
32 features,78.33,,feature_369,
33 features,78.17,,feature_626,
34 features,78.67,,feature_430,
35 features,78,,feature_574,
36 features,77.33,,feature_971,
37 features,78,,feature_819,
38 features,78,,feature_866,
39 features,78,,feature_192,
40 features,78.17,,feature_822,
41 features,78.17,,feature_3,
