feature_973,feature_680,feature_824,feature_531,feature_734,feature_44,feature_899,feature_321,feature_602,feature_921,feature_3,feature_572,feature_331,feature_437,feature_4,feature_740,feature_166,feature_923,feature_675,feature_570,feature_11,feature_829,feature_828,feature_207,feature_319,feature_27,feature_178,feature_595,class
0.017997205,-0.45459247,1.0723454,3.5614855,1.3097923,0.37936544,1.2151771,-0.20729962,3.0657136,-0.360971,-3.1326795,-2.077903,-0.71300513,-1.3033438,-2.6442342,0.5613687,-0.93252015,0.47885036,0.006906539,-1.8465096,-0.25500116,0.72539186,2.1803179,0.098230958,0.36523813,-1.2831942,-1.4476528,1.4143386,FML
-0.14566594,-0.46288258,1.3210995,3.6988046,1.599577,0.27797717,1.6274625,-0.34375745,2.9767091,-0.67300868,-3.2242818,-1.7665478,-0.64470375,-1.3931286,-2.6604512,0.62048435,-1.1247078,0.33566552,0.12643397,-1.8502818,-0.43626034,1.3302972,1.9862055,0.15790668,0.3677063,-1.3442408,-1.3213508,1.3027282,FML
0.11842816,-0.60701108,1.2969565,3.6130242,1.4622178,0.15287574,1.6360536,-0.50007969,3.1198297,-0.39392376,-3.1269391,-1.9299771,-0.5577665,-1.3202646,-2.8014576,0.5831207,-1.0461131,0.52234805,0.091455057,-1.9127247,-0.41771439,1.1022356,2.0266225,0.14274123,0.12127239,-1.64844,-1.3419623,1.1718646,FML
-0.20672074,-0.42492491,1.1558566,3.8962536,1.45574,0.23176001,1.5559388,-0.24954492,2.8648131,-0.40618497,-3.2196226,-1.722261,-0.52712637,-1.1436298,-2.7761672,0.45088047,-1.0467356,0.34381285,0.14710301,-1.7459178,-0.29359382,0.9121902,1.9464625,0.025598228,0.099738762,-1.4687712,-1.5257115,1.1819754,FML
-0.080109298,-0.20821714,1.3227322,3.6423252,1.5417346,0.19872306,1.4133561,-0.41324505,3.1457584,-0.32492697,-3.2068522,-1.9363414,-0.72709769,-1.3179064,-2.6981151,0.37426391,-1.0417298,0.4209708,-0.060134113,-1.8775511,-0.32569259,0.95730674,2.0564444,0.10568979,0.3055684,-1.3399304,-1.3350081,1.3714566,FML
0.020086817,-0.37434205,0.93784976,4.0888963,1.6193004,0.28695416,1.3354837,-0.16480896,3.194634,-0.32666367,-3.3167641,-1.81716,-0.73383659,-1.2320011,-2.8234236,0.46305159,-1.0506691,0.18841523,0.099711947,-1.4877762,-0.19959554,0.69779491,2.2512283,0.21518299,0.30332518,-1.378539,-1.2599875,1.3483526,FML
-0.11246842,-0.56708741,1.3638706,3.7314484,1.4351528,0.22993018,1.6504705,-0.44431755,2.751941,-0.68951464,-3.2551374,-1.5798129,-0.44332024,-1.3104379,-2.804961,0.56851983,-1.1772466,0.20195797,0.4002164,-1.8399943,-0.27235556,1.5067595,1.6063721,0.16479781,0.28284407,-1.3688016,-1.4516115,1.0986668,FML
0.16079783,-0.46247348,0.87031287,3.8734982,1.4070572,-0.10621222,1.5019184,-0.23084661,2.9868264,-0.21310589,-3.1491244,-1.6444874,-0.6718657,-1.0047631,-2.7442698,0.31558061,-1.0875007,0.48351923,-0.055149078,-1.4904462,-0.4180705,0.75929505,1.8809625,-0.087478489,0.1521038,-1.713338,-1.6190325,1.2706203,FML
-0.12144755,-0.56301975,0.99709076,3.5876889,1.4117274,0.53442401,1.278259,-0.14545228,3.0830748,-0.61120462,-3.2565918,-2.0316865,-0.56394994,-1.3419542,-2.7159162,0.526676,-0.90658152,0.38105023,-0.009983629,-1.7421027,-0.20415482,0.89906776,2.0248268,0.19515166,0.41821027,-1.103392,-1.3654346,1.1248361,FML
0.047770478,-0.27834287,1.1465783,3.623832,1.3909091,0.15686448,1.4199588,-0.22464141,2.825583,-0.38080409,-3.1759152,-1.8443338,-0.54484278,-1.2095244,-2.7786427,0.1310271,-1.1613735,0.60244596,0.21558812,-1.6450946,-0.33527094,0.96612132,1.9150847,-0.064163238,0.35098857,-1.3313761,-1.4278715,1.2503517,FML
